goods_code,frequency,code_length
FULFILMENT,25023,10
239246776,4574,9
237841896,2770,9
239246779,2399,9
236604736,2202,9
239246778,2151,9
239246776,2113,9
239246782,1687,9
240575990,1596,9
236604744,1226,9
239246779,1221,9
240040984,1185,9
239246775,1152,9
239827061,1137,9
236604737,1107,9
240040978,1084,9
233598811,1057,9
240041004,1045,9
239246783,1009,9
240376619,1004,9
234418518,979,9
239246778,975,9
240376608,918,9
239827062,896,9
239246782,871,9
240040978,767,9
240376609,759,9
239838687,752,9
236604752,741,9
240575993,728,9
240043592,713,9
240575990,709,9
240040984,701,9
240041004,644,9
239827061,617,9
239001518,573,9
239246775,564,9
DMS5461,543,7
239001474,535,9
236604753,533,9
239246783,523,9
240376619,521,9
DMS5462,511,7
239246780,506,9
DMS6461,499,7
240041020,476,9
240376608,472,9
237841896,462,9
236604727,452,9
DMS15,449,5
238701670,442,9
239001428,435,9
238701671,431,9
240575999,426,9
DMS4462,419,7
239900855,416,9
239001415,415,9
239827062,410,9
239246777,403,9
240575992,403,9
240376609,397,9
239001536,379,9
238601186,375,9
240575996,374,9
238742046,374,9
239866722,370,9
238424605,359,9
239246774,354,9
240575993,353,9
239838687,332,9
240041012,324,9
240040968,319,9
239001518,315,9
239001474,309,9
239246781,305,9
240041020,299,9
239841491,287,9
239900853,287,9
239246780,286,9
236665679,283,9
233598818,275,9
238086343,273,9
239001407,266,9
239001428,263,9
DMS22,255,5
239866717,253,9
240040963,248,9
240376596,243,9
240041010,241,9
240376716,235,9
239001440,235,9
240264909,234,9
239827065,234,9
240575998,233,9
238449039,232,9
240382077,231,9
239827064,230,9
239092004,229,9
239246774,227,9
240041012,226,9
240040983,225,9
239841522,216,9
DMS7683,215,7
239246777,212,9
240575999,212,9
239900855,210,9
239001415,209,9
239246773,203,9
240041010,203,9
239841527,201,9
240376714,200,9
240043599,199,9
238923518,198,9
240575996,198,9
240041008,197,9
239001404,194,9
239001536,194,9
239001495,194,9
240040969,190,9
239001426,186,9
241018003,185,9
240040968,184,9
240040965,182,9
238742046,177,9
238742053,176,9
239866807,174,9
240575995,173,9
240575992,171,9
239952954,170,9
240040983,166,9
239866722,165,9
239091975,162,9
238601186,161,9
239246781,161,9
239001532,158,9
239001418,156,9
240376593,155,9
239091963,154,9
240376596,153,9
240043590,152,9
238653728,152,9
240041022,149,9
240575988,145,9
239903521,145,9
239001407,144,9
239001404,143,9
240575997,142,9
239900859,142,9
240040964,140,9
240040966,140,9
239831425,140,9
240076676,140,9
240041008,140,9
240040999,138,9
239001458,138,9
239900853,137,9
238701670,136,9
240040963,136,9
239900858,136,9
239841490,133,9
238925842,133,9
239841491,132,9
239838686,132,9
239841523,129,9
236998880,127,9
236670968,124,9
240376597,123,9
239841527,123,9
238923517,122,9
240376719,118,9
239001495,117,9
239001540,117,9
238601317,117,9
240382077,116,9
239001426,116,9
239835928,116,9
239001459,116,9
234418518,114,9
239001440,114,9
239001423,114,9
240376604,114,9
239001480,113,9
240376716,112,9
236604787,112,9
239001548,111,9
239827064,111,9
240376714,111,9
239866717,109,9
239246773,106,9
239827065,106,9
239091975,106,9
240376593,105,9
239953301,104,9
239831345,103,9
239866807,103,9
238449039,102,9
241017996,101,9
238868541,99,9
240040959,99,9
238742049,98,9
239001418,96,9
239903728,96,9
240040999,95,9
239841522,95,9
239948157,95,9
240040987,93,9
DMS7585,92,7
238923518,92,9
239246772,91,9
238667157,90,9
239001458,90,9
240382078,89,9
239092003,89,9
240117639,88,9
238923516,88,9
240076678,88,9
240043592,87,9
238449040,87,9
238602413,87,9
240041003,87,9
240041022,87,9
240040969,86,9
240040966,86,9
231955524,86,9
239091963,86,9
238424605,85,9
240040967,84,9
239952954,84,9
239001469,83,9
238674947,83,9
DMS19,83,5
240575994,82,9
239948155,81,9
241018000,81,9
240376610,80,9
239001422,80,9
234687705,79,9
234090892,79,9
241018007,79,9
DMS8081,78,7
241018003,78,9
241018010,78,9
239903525,77,9
239001532,76,9
240040988,75,9
239835928,75,9
234942306,75,9
238742053,75,9
236604786,73,9
240076679,73,9
239841523,72,9
238742052,72,9
238923517,72,9
239831388,71,9
239903521,71,9
239003117,71,9
239001480,70,9
241018008,70,9
240040965,70,9
236604738,69,9
239001399,67,9
238349193,67,9
239842080,67,9
241017996,66,9
239900858,66,9
240376719,65,9
238667161,65,9
240382074,65,9
240575995,65,9
240040987,65,9
240376604,64,9
239091978,64,9
240376603,64,9
239841490,64,9
238299020,64,9
240575997,63,9
238449038,62,9
239091962,62,9
238723494,62,9
237599835,62,9
240040988,62,9
240072647,62,9
240376597,61,9
239831425,61,9
240040962,61,9
238925842,61,9
239001548,60,9
240041014,60,9
239001481,59,9
238653720,59,9
238701671,59,9
240342744,59,9
240076674,59,9
238601317,59,9
240040997,59,9
238667162,59,9
239091952,58,9
239091971,58,9
239001422,58,9
239001436,58,9
238449041,58,9
239001423,58,9
238667165,58,9
238349177,58,9
239001478,57,9
239001542,57,9
239091994,57,9
239091949,57,9
238602413,57,9
239001459,56,9
240204876,56,9
239001503,56,9
239003110,56,9
240376602,55,9
240040975,55,9
240253627,55,9
239001540,55,9
238923516,55,9
239091966,55,9
240041000,54,9
239903730,54,9
239831712,54,9
239001437,53,9
239091969,53,9
239091980,52,9
238086343,52,9
240040997,52,9
240376734,52,9
239900859,52,9
240382450,51,9
240382078,51,9
240860354,51,9
240040964,51,9
240040960,51,9
239838686,51,9
238632538,50,9
239831394,50,9
238708403,50,9
239903728,50,9
239953301,50,9
240192738,50,9
239948158,50,9
240575991,50,9
239842096,50,9
239091993,49,9
239091997,49,9
240376612,49,9
240117639,49,9
240277318,49,9
240575994,49,9
240383709,49,9
239001406,49,9
239091995,48,9
241018010,48,9
235050844,48,9
239903727,48,9
239091978,48,9
239001563,47,9
240040967,47,9
240041003,47,9
240376610,47,9
236866518,47,9
239842097,47,9
239001467,47,9
240342744,47,9
240040961,47,9
240041028,47,9
240040959,46,9
239091957,46,9
239091962,46,9
239001454,46,9
240040993,46,9
239001399,46,9
240342755,46,9
238742049,46,9
235050841,45,9
239091994,45,9
238735587,45,9
238979361,45,9
240342755,45,9
231666132,45,9
239948155,44,9
239901242,43,9
239831382,43,9
236822127,43,9
239091998,43,9
238667157,43,9
239001400,43,9
239901696,43,9
239001437,43,9
240040975,43,9
239246772,42,9
238667167,42,9
238449038,42,9
238667165,42,9
238653719,42,9
241018009,41,9
241018000,41,9
239831345,41,9
237197822,41,9
233119241,41,9
240376715,41,9
241018008,41,9
240376711,40,9
240382074,40,9
241018004,40,9
239091985,40,9
239091974,40,9
238449040,40,9
238708390,40,9
238674946,40,9
238667159,40,9
241018007,40,9
237688975,39,9
239001406,39,9
239900864,39,9
239842093,39,9
239842076,39,9
239001451,39,9
239903525,39,9
240575998,39,9
240376712,39,9
240376601,39,9
240041013,39,9
239948157,39,9
240342751,38,9
239091966,38,9
239091951,38,9
240040962,38,9
239842087,38,9
239091953,38,9
239774080,37,9
234090865,37,9
239482904,37,9
238708401,37,9
238667161,37,9
239091957,37,9
240264908,37,9
241018020,37,9
238601321,36,9
233119244,36,9
239091969,36,9
237641868,36,9
239842080,36,9
240087889,35,9
239001471,35,9
240040982,35,9
240040958,35,9
239091952,35,9
239001429,35,9
241018017,35,9
239903727,34,9
238742052,34,9
241018006,34,9
239831373,34,9
239903542,34,9
DMS9,34,4
238349193,34,9
239753454,34,9
237599835,34,9
237197822,34,9
238667177,34,9
240041028,34,9
233658511,33,9
238449041,33,9
237843838,33,9
239091977,33,9
240376713,33,9
239001450,33,9
239214780,33,9
237479938,33,9
233598911,32,9
234418506,32,9
235050844,32,9
231958722,32,9
237013521,32,9
240043590,32,9
240376599,32,9
240192734,32,9
238708404,32,9
240192738,32,9
239091971,32,9
239780059,32,9
239001469,32,9
238349162,32,9
239091986,32,9
240040961,31,9
239831712,31,9
240376612,31,9
239001503,31,9
236665679,31,9
239004704,31,9
238601319,30,9
DMS20,30,5
233658532,30,9
DMS4463,30,7
238349168,30,9
240043599,30,9
239903537,30,9
238086341,30,9
240040980,30,9
239001453,29,9
239091980,29,9
240040960,29,9
236669449,29,9
238708391,29,9
240041005,29,9
237841890,29,9
239001517,29,9
239001454,29,9
238079636,29,9
240265317,29,9
238632538,29,9
240041014,29,9
239842097,28,9
239831388,28,9
238835487,28,9
239001542,28,9
240072648,28,9
239841525,28,9
240376611,28,9
239091993,28,9
239831394,28,9
237780059,28,9
239091982,28,9
239835933,28,9
240041000,28,9
240342747,28,9
240382452,28,9
239842093,28,9
239900862,27,9
240040996,27,9
239831378,27,9
238349147,27,9
239001563,27,9
238349177,27,9
239504674,27,9
239001481,27,9
239091987,27,9
239091968,27,9
237598054,27,9
239001451,27,9
239001556,27,9
239904690,26,9
239001489,26,9
238667167,26,9
239091999,26,9
233658536,26,9
237197823,26,9
239903730,26,9
240192743,26,9
236604728,26,9
238835485,26,9
239901263,26,9
DMS8086,26,7
238094690,25,9
240043923,25,9
239001471,25,9
238835487,25,9
236918146,25,9
240860361,25,9
240575991,25,9
240376603,25,9
238667158,25,9
234687708,25,9
241018025,25,9
239091949,25,9
240376602,25,9
240087890,24,9
234526497,24,9
239001429,24,9
240204876,24,9
240041013,24,9
238667162,24,9
240315375,24,9
239838688,24,9
231083318,24,9
239091961,24,9
240076677,24,9
240041027,24,9
231759512,24,9
240253627,24,9
240376591,24,9
240342757,24,9
239001436,24,9
238653728,24,9
240376607,24,9
238282616,24,9
239001400,24,9
239842096,23,9
239842077,23,9
240376712,23,9
239780062,23,9
240041015,23,9
239948152,23,9
238095368,23,9
240382450,23,9
239482916,23,9
239753456,23,9
240376715,23,9
239001467,23,9
237688985,23,9
240041011,23,9
238708390,23,9
239091977,23,9
240265315,23,9
231955529,23,9
239831347,23,9
238370686,23,9
239091951,23,9
239091998,23,9
238512429,23,9
239903534,23,9
239841885,23,9
238919082,23,9
234964330,22,9
236556715,22,9
237197823,22,9
238667177,22,9
DMS8881,22,7
237687807,22,9
231955525,22,9
238282615,22,9
240875727,22,9
241018006,22,9
240376599,22,9
239091974,22,9
239786755,22,9
238063964,22,9
239092000,22,9
237626283,22,9
239091982,22,9
240342752,22,9
239774078,22,9
234090863,22,9
239996213,22,9
238349167,22,9
DMS8084,22,7
241018020,22,9
239091955,21,9
241018009,21,9
236578762,21,9
239873041,21,9
239093362,21,9
239842075,21,9
239001556,21,9
238667149,21,9
239091997,21,9
238368886,21,9
239774081,21,9
238925843,21,9
236822064,21,9
238349142,21,9
238601320,21,9
240376594,21,9
240343601,21,9
240264909,21,9
236822100,21,9
239774076,21,9
239901234,21,9
239877685,21,9
238601319,21,9
240192736,21,9
238642180,21,9
240044093,21,9
238639095,20,9
231035079,20,9
239482904,20,9
238444478,20,9
236556716,20,9
239003116,20,9
234403010,20,9
239900862,20,9
241018017,20,9
233119258,20,9
239092004,20,9
231955524,20,9
240382452,20,9
240087883,20,9
238805528,20,9
231974862,20,9
240040982,20,9
239001432,20,9
236669449,20,9
237457818,20,9
238868541,20,9
236604792,20,9
239841727,20,9
239780062,20,9
240043922,20,9
239784964,20,9
238905809,20,9
238368585,19,9
241018013,19,9
240076675,19,9
236822050,19,9
240376614,19,9
236799843,19,9
239774089,19,9
239780060,19,9
234966518,19,9
237080786,19,9
239091984,19,9
237013521,19,9
240040986,19,9
240342751,19,9
238681163,19,9
240376734,19,9
231955529,19,9
240040992,19,9
237993876,19,9
DMS10423,19,8
238036804,19,9
238222171,18,9
237816567,18,9
DMS8083,18,7
238708403,18,9
235486775,18,9
236669442,18,9
233166330,18,9
240087883,18,9
239091995,18,9
240575988,18,9
240361435,18,9
238905789,18,9
239484666,18,9
239001478,18,9
241018004,18,9
240040985,18,9
240376601,18,9
240253629,17,9
240217108,17,9
236917978,17,9
239831374,17,9
240382423,17,9
239001491,17,9
239854851,17,9
237653419,17,9
240041017,17,9
240376711,17,9
238222161,17,9
240041005,17,9
238667174,17,9
237758875,17,9
240000487,17,9
240040986,17,9
232352697,17,9
239091968,17,9
234427272,17,9
240376594,17,9
239001491,17,9
238910694,17,9
237845514,16,9
240376611,16,9
239774078,16,9
240040976,16,9
238925839,16,9
231035079,16,9
239903552,16,9
238368589,16,9
240043923,16,9
239001396,16,9
240192737,16,9
239091999,16,9
239838688,16,9
240772319,16,9
239091960,16,9
239774081,16,9
237181497,16,9
239835930,16,9
234966604,16,9
237250212,16,9
239774075,16,9
239474666,16,9
238318144,16,9
238705804,16,9
233119254,16,9
239877685,16,9
238704820,16,9
238786708,16,9
234241380,16,9
239985538,16,9
236794522,16,9
239474666,16,9
239001439,16,9
238349167,16,9
239842087,16,9
239091958,16,9
239877662,16,9
239901242,16,9
240040977,16,9
238639097,16,9
238708401,16,9
238005350,16,9
238667158,16,9
238711442,15,9
240041015,15,9
239001417,15,9
237037784,15,9
240041002,15,9
239001446,15,9
232536670,15,9
240857134,15,9
239831382,15,9
240342735,15,9
237219461,15,9
234090861,15,9
238451405,15,9
231035080,15,9
234007350,15,9
239786758,15,9
239842098,15,9
239948158,15,9
240342752,15,9
239091985,15,9
240040971,15,9
238910400,15,9
238729664,15,9
234966536,15,9
233988311,15,9
240376592,15,9
239091953,15,9
234687706,15,9
231796410,15,9
233988311,15,9
239091992,15,9
239841997,15,9
233004763,14,9
238639097,14,9
240243958,14,9
239001401,14,9
238382853,14,9
236869252,14,9
237870449,14,9
240192730,14,9
238348439,14,9
240192741,14,9
234526497,14,9
236998880,14,9
239758295,14,9
239842077,14,9
237688990,14,9
239903458,14,9
231431353,14,9
240342757,14,9
239091950,14,9
238497951,14,9
240040990,14,9
240192727,14,9
240192727,14,9
238910401,14,9
239901695,14,9
240376595,14,9
240376607,14,9
240087890,14,9
238667159,14,9
239900864,14,9
239901696,14,9
238642182,14,9
236822134,14,9
237720850,14,9
237506269,14,9
238019865,14,9
233004712,14,9
239841525,14,9
240040980,14,9
232503899,14,9
237976242,14,9
237219467,14,9
240782336,14,9
239904690,14,9
240934660,14,9
240040958,14,9
238036800,14,9
239091959,14,9
240041006,14,9
239841886,14,9
234241380,14,9
235452317,13,9
238226101,13,9
240253625,13,9
238704823,13,9
238382848,13,9
240376720,13,9
238905798,13,9
