ID,Nb_of_items,TOTAL_BASKET_VALUE,TOTAL_PRODUCTS
48325,3.0,4196.0,4.0
49127,6.0,3909.0,9.0
59924,22.0,5661.0,30.0
103055,6.0,3982.0,7.0
82462,4.0,4301.0,7.0
95676,2.0,4378.0,2.0
86984,7.0,4968.0,7.0
9506,17.0,3927.0,22.0
4370,4.0,4073.0,4.0
44208,3.0,4547.0,3.0
30299,2.0,6197.0,3.0
77683,1.0,5299.0,1.0
12610,6.0,4396.0,10.0
7358,6.0,4592.0,6.0
38150,2.0,3997.0,3.0
98895,2.0,5298.0,2.0
5242,3.0,4197.0,4.0
24007,1.0,3999.0,1.0
112076,6.0,5047.0,7.0
23229,2.0,5124.0,2.0
97197,6.0,5279.0,6.0
43079,1.0,4349.0,1.0
45216,2.0,5798.0,2.0
29258,2.0,4065.0,2.0
29847,3.0,4947.0,3.0
65364,2.0,7297.0,3.0
18932,2.0,4939.0,2.0
101136,2.0,4259.0,2.0
38298,1.0,4599.0,1.0
85672,17.0,4739.0,23.0
92904,2.0,4854.0,2.0
56477,1.0,3999.0,1.0
87564,2.0,6143.0,5.0
66572,1.0,5499.0,1.0
101851,1.0,4999.0,1.0
113408,4.0,3903.0,5.0
39636,8.0,5830.0,9.0
66039,3.0,4012.0,3.0
108081,3.0,5163.0,3.0
28380,2.0,6819.0,2.0
83592,2.0,4198.0,4.0
17978,3.0,4041.0,3.0
22808,3.0,4139.0,3.0
23144,3.0,4296.0,4.0
38333,2.0,4397.0,3.0
4453,12.0,4524.0,14.0
41893,1.0,5299.0,1.0
7448,3.0,6548.0,3.0
2218,4.0,5497.0,4.0
37463,1.0,3999.0,1.0
73076,10.0,5529.0,12.0
39571,4.0,4958.0,4.0
113281,19.0,5769.0,36.0
55084,1.0,5499.0,1.0
39220,12.0,5585.0,17.0
77377,1.0,8499.0,1.0
40157,3.0,4939.0,3.0
81900,2.0,4877.0,3.0
32410,2.0,4344.0,2.0
113653,4.0,4345.0,5.0
83578,10.0,4105.0,10.0
22473,1.0,3899.0,1.0
58906,2.0,4019.0,2.0
59610,3.0,4897.0,3.0
100391,1.0,3998.0,2.0
83567,1.0,4199.0,1.0
63210,3.0,4293.0,3.0
91433,3.0,3939.0,3.0
64178,3.0,4139.0,3.0
104430,1.0,4999.0,1.0
106135,1.0,4499.0,1.0
105876,4.0,4001.0,5.0
200,7.0,6794.0,10.0
5397,4.0,4016.0,5.0
12715,1.0,9999.0,1.0
74637,3.0,4003.0,3.0
25975,2.0,6697.0,3.0
104050,3.0,3997.0,3.0
82339,4.0,6018.0,4.0
34530,1.0,4999.0,1.0
20667,1.0,4879.0,1.0
65332,1.0,5099.0,1.0
63794,2.0,3999.0,2.0
47553,3.0,5423.0,3.0
114979,6.0,4006.0,7.0
90720,6.0,4096.0,7.0
4941,2.0,4197.0,3.0
12147,1.0,4198.0,2.0
78085,1.0,3930.0,1.0
8644,4.0,3878.0,4.0
94776,8.0,4504.0,8.0
3102,2.0,4999.0,2.0
59295,3.0,4288.0,5.0
107797,1.0,4199.0,1.0
20457,5.0,4471.0,5.0
64554,4.0,4030.0,4.0
59174,3.0,7297.0,3.0
48821,1.0,4499.0,1.0
76141,1.0,5489.0,1.0
73763,1.0,5499.0,1.0
15702,1.0,4799.0,1.0
26640,1.0,3998.0,2.0
113993,1.0,3999.0,1.0
32639,4.0,3931.0,5.0
97375,2.0,4397.0,3.0
40915,3.0,3898.0,3.0
41278,2.0,4012.0,2.0
75750,4.0,4879.0,6.0
101588,1.0,4218.0,2.0
22122,5.0,5172.0,5.0
88264,1.0,4649.0,1.0
111216,6.0,4276.0,6.0
1540,2.0,8499.0,2.0
38494,1.0,4899.0,1.0
114454,2.0,4548.0,2.0
23607,14.0,5348.0,15.0
80128,3.0,6716.0,4.0
86245,2.0,4047.0,3.0
40051,1.0,5299.0,1.0
45930,3.0,4187.0,3.0
64131,1.0,3999.0,1.0
40855,3.0,4264.0,3.0
111456,3.0,4197.0,3.0
104521,1.0,4499.0,1.0
69923,1.0,5299.0,1.0
47362,1.0,3999.0,1.0
26841,1.0,4499.0,1.0
38265,5.0,4995.0,5.0
57692,2.0,4398.0,2.0
5229,2.0,4940.0,3.0
8870,2.0,6799.0,2.0
41519,2.0,5596.0,4.0
60803,1.0,15199.0,1.0
67282,5.0,4653.0,8.0
48982,5.0,3876.0,5.0
108614,1.0,14999.0,1.0
77062,6.0,4603.0,6.0
70655,5.0,3855.0,5.0
111306,2.0,9574.0,2.0
36229,4.0,4463.0,4.0
42409,2.0,4178.0,2.0
38100,3.0,6997.0,3.0
34343,6.0,4502.0,6.0
78019,4.0,4152.0,4.0
9132,4.0,3998.0,4.0
52289,2.0,4499.0,2.0
61579,3.0,4139.0,3.0
93304,4.0,4415.0,10.0
86876,36.0,4331.0,48.0
20087,2.0,4006.0,2.0
86732,3.0,5205.0,3.0
16680,2.0,3898.0,2.0
87975,1.0,5248.0,1.0
89978,3.0,4323.0,4.0
9844,2.0,4499.0,2.0
6183,8.0,3940.0,8.0
9947,9.0,6350.0,13.0
25251,1.0,7999.0,1.0
95022,3.0,4137.0,3.0
29918,3.0,5016.0,4.0
39966,2.0,8499.0,2.0
95205,2.0,4173.0,3.0
37178,3.0,8297.0,3.0
46538,4.0,4086.0,4.0
86005,2.0,5297.0,3.0
77454,2.0,3998.0,4.0
109611,3.0,4918.0,3.0
90676,2.0,4126.0,4.0
37033,1.0,3999.0,1.0
85994,5.0,4753.0,5.0
102343,2.0,4517.0,3.0
40453,2.0,4898.0,2.0
78549,4.0,4547.0,5.0
75863,12.0,5917.0,14.0
113343,1.0,4598.0,2.0
35469,1.0,5998.0,2.0
62239,2.0,4139.0,2.0
37132,6.0,5270.0,10.0
11068,2.0,4998.0,2.0
109742,3.0,4697.0,3.0
58864,6.0,4095.0,6.0
67983,2.0,4398.0,2.0
53600,2.0,4149.0,2.0
38654,5.0,4213.0,5.0
66120,1.0,9999.0,1.0
110669,2.0,4481.0,3.0
50140,2.0,4848.0,2.0
11580,2.0,3999.0,2.0
111439,2.0,4098.0,2.0
20385,2.0,4010.0,2.0
35636,2.0,4639.0,2.0
26611,1.0,5999.0,1.0
54613,1.0,7699.0,1.0
39371,2.0,4019.0,2.0
41225,2.0,4799.0,2.0
