nb_items,unique_codes
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
3.0,3
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
3.0,3
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
4.0,4
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
4.0,4
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
9.0,8
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
4.0,4
4.0,3
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
4.0,4
6.0,6
3.0,3
3.0,3
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
4.0,4
1.0,1
1.0,1
2.0,2
3.0,3
2.0,2
7.0,7
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
3.0,3
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
6.0,6
2.0,2
2.0,2
2.0,2
3.0,3
3.0,3
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
3.0,3
3.0,3
2.0,2
2.0,2
1.0,1
6.0,6
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
2.0,2
3.0,3
1.0,1
2.0,2
6.0,6
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
3.0,3
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
3.0,3
1.0,1
4.0,4
2.0,2
1.0,1
2.0,2
4.0,4
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
8.0,8
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
4.0,4
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
22.0,22
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
4.0,4
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
3.0,3
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
4.0,4
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
1.0,1
1.0,1
1.0,1
4.0,4
2.0,2
2.0,2
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
7.0,6
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
6.0,6
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
4.0,4
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
3.0,3
1.0,1
3.0,3
2.0,2
3.0,3
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
3.0,3
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
3.0,3
2.0,2
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
6.0,6
1.0,1
1.0,1
2.0,2
2.0,2
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
4.0,4
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
4.0,4
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
4.0,4
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
3.0,3
2.0,2
10.0,10
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
4.0,4
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
12.0,12
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
4.0,4
2.0,2
1.0,1
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
5.0,5
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
3.0,3
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
4.0,4
1.0,1
1.0,1
12.0,12
1.0,1
4.0,4
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
1.0,1
2.0,2
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
7.0,7
3.0,3
5.0,5
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
4.0,4
2.0,2
2.0,2
4.0,4
1.0,1
2.0,2
4.0,4
1.0,1
1.0,1
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
2.0,2
2.0,2
3.0,3
1.0,1
2.0,2
1.0,1
4.0,4
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
5.0,5
4.0,3
1.0,1
5.0,5
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
5.0,5
2.0,2
3.0,3
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
2.0,2
8.0,8
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
7.0,7
2.0,2
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
4.0,4
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
4.0,4
1.0,1
3.0,3
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
7.0,7
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
