make,model,frequency
APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,13141
APPLE,APPLE WATCH SERIES 6 GPS 44MM SPACE GREY ALUMINIUM,466
SAMSUNG,SAMSUNG QE75Q70A 2021 QLED HDR 4K ULTRA HD SMART T,66
APPLE,2020 APPLE IPAD AIR 10 9 A14 BIONIC PROCESSOR IOS,2669
APPLE,APPLE PENCIL 2ND GENERATION 2018 MATTE WHITE,2880
SONY,SONY BRAVIA KE48A9 2020 OLED HDR 4K ULTRA HD SMART,255
APPLE,APPLE WATCH NIKE SERIES 7 GPS 41MM STARLIGHT ALUMI,105
SONY,SONY BRAVIA XR XR75X90J 2021 LED HDR 4K ULTRA HD S,80
RETAILER,RETAILER,39634
APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR M1 PROCESSOR 8,5332
APPLE,2021 APPLE MACBOOK PRO 14 M1 PRO PROCESSOR 16GB RA,3582
LG,LG OLED55C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,1711
SAMSUNG,SAMSUNG THE FRAME 2021 QLED ART MODE TV WITH SLIM,874
APPLE,2022 APPLE IPAD AIR 10 9 M1 PROCESSOR IPADOS WI-FI,1136
APPLE,APPLE WATCH SERIES 6 GPS 40MM BLUE ALUMINIUM CASE,86
APPLE,2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 128G,2304
APPLE,2019 APPLE MACBOOK PRO 16 TOUCH BAR INTEL CORE I7,99
APPLE,APPLE MJ1M2ZM A USB-C TO USB ADAPTOR,995
RETAILER,RETAILER MARLOW 300CM MIRRORED HINGED W,12
RETAILER,RETAILER MARLOW 3 DRAWER BEDSIDE TABLE,33
APPLE,APPLE WATCH SERIES 7 GPS 45MM GREEN ALUMINIUM CASE,184
APPLE,APPLE WATCH SERIES 7 GPS 41MM GREEN ALUMINIUM CASE,183
SAMSUNG,SAMSUNG QE65QN94A 2021 NEO QLED HDR 2000 4K ULTRA,65
APPLE,"2020 APPLE MACBOOK PRO 13""",246
RETAILER,RETAILER BAILEY HIGH BACK GRAND 4 SEATE,7
RETAILER,RETAILER BAILEY HIGH BACK MEDIUM 2 SEAT,15
