model,frequency,description_length
RETAILER,42914,8
2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,13141,50
2020 APPLE MACBOOK PRO 13 TOUCH BAR M1 PROCESSOR 8,5332,50
2021 APPLE MACBOOK PRO 14 M1 PRO PROCESSOR 16GB RA,3582,50
APPLE PENCIL 2ND GENERATION 2018 MATTE WHITE,2880,44
2020 APPLE IPAD AIR 10 9 A14 BIONIC PROCESSOR IOS,2669,49
2021 APPLE IMAC 24 ALL-IN-ONE M1 PROCESSOR 8GB RAM,2428,50
2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 128G,2304,50
2021 APPLE MACBOOK PRO 16 M1 PRO PROCESSOR 16GB RA,2162,50
2021 APPLE IPAD PRO 12 9 M1 PROCESSOR IOS WI-FI 25,2123,50
2020 APPLE MACBOOK AIR,2024,22
2021 APPLE IPAD PRO 12 9 M1 PROCESSOR IOS WI-FI 12,1904,50
APPLE WATCH SERIES 6,1822,20
LG OLED55C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,1711,49
APPLE WATCH SERIES 7 GPS 45MM MIDNIGHT ALUMINIUM C,1525,50
APPLE WATCH SERIES 7 GPS 41MM STARLIGHT ALUMINIUM,1390,49
LG OLED48C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,1211,49
APPLE WATCH SERIES 7 GPS 41MM MIDNIGHT ALUMINIUM C,1156,50
2022 APPLE IPAD AIR 10 9 M1 PROCESSOR IPADOS WI-FI,1136,50
LG OLED65C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,1077,49
2020 APPLE MACBOOK PRO,1030,22
APPLE MJ1M2ZM A USB-C TO USB ADAPTOR,995,36
2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 256G,943,50
APPLE IPHONE 12,940,15
SAMSUNG THE FRAME 2021 QLED ART MODE TV WITH SLIM,874,49
"2020 APPLE IPAD AIR 10.9""",815,25
2020 APPLE MACBOOK PRO 13 TOUCH BAR INTEL CORE I5,795,49
APPLE MAGIC KEYBOARD FOR 12 9 IPAD PRO 2021 BLACK,761,49
2021 APPLE IPAD PRO 12 9 M1 PROCESSOR IOS WI-FI CE,705,50
SONY BRAVIA XR XR65A80J 2021 OLED HDR 4K ULTRA HD,619,49
2021 APPLE IPAD PRO 12 9 M1 PROCESSOR IOS WI-FI 51,558,50
LG OLED55A16LA 2021 OLED HDR 4K ULTRA HD SMART TV,533,49
APPLE MAGIC KEYBOARD FOR 12 9 IPAD PRO,519,38
APPLE WATCH SERIES 6 GPS 40MM GOLD ALUMINIUM CASE,506,49
APPLE WATCH SERIES 6 GPS 44MM SPACE GREY ALUMINIUM,466,50
APPLE IPHONE 12 PRO MAX,465,23
APPLE MAGIC KEYBOARD FOR 11 IPAD PRO 2020 BLACK,433,47
APPLE IPHONE 12 MINI,431,20
