ID,Nb_of_items,TOTAL_BASKET_VALUE,TOTAL_PRODUCTS,outlier_type
12714,3.0,3223.0,3.0,price
48325,3.0,4196.0,4.0,price
23604,1.0,3079.0,1.0,price
82928,2.0,2610.0,2.0,price
79889,1.0,2999.0,1.0,price
49127,6.0,3909.0,9.0,price
68311,3.0,2619.0,3.0,price
15515,3.0,3823.0,3.0,price
91848,1.0,2599.0,1.0,price
87538,1.0,2849.0,1.0,price
88599,2.0,2606.0,2.0,price
86854,2.0,2698.0,2.0,price
80944,2.0,2819.0,2.0,price
56723,2.0,2819.0,2.0,price
59924,22.0,5661.0,30.0,price
81990,3.0,3165.0,3.0,price
9482,2.0,3299.0,2.0,price
91086,2.0,3033.0,7.0,price
57422,2.0,2603.0,2.0,price
1650,2.0,3199.0,2.0,price
13616,3.0,3359.0,3.0,price
41008,3.0,3012.0,3.0,price
46812,2.0,2589.0,2.0,price
71963,1.0,2599.0,1.0,price
58470,2.0,2606.0,2.0,price
53410,2.0,3639.0,2.0,price
103055,6.0,3982.0,7.0,price
84208,2.0,3079.0,2.0,price
12497,2.0,3098.0,2.0,price
18373,3.0,2747.0,3.0,price
18180,10.0,3432.0,10.0,price
34298,2.0,3024.0,2.0,price
82462,4.0,4301.0,7.0,price
56612,1.0,2599.0,1.0,price
83808,2.0,2838.0,2.0,price
64299,4.0,3304.0,4.0,price
95676,2.0,4378.0,2.0,price
77986,3.0,2605.0,3.0,price
67928,2.0,2606.0,2.0,price
85513,2.0,3598.0,2.0,price
49319,1.0,3198.0,2.0,price
11626,2.0,3499.0,2.0,price
15474,2.0,2971.0,2.0,price
67764,2.0,3339.0,2.0,price
217,2.0,2806.0,2.0,price
25996,1.0,3699.0,1.0,price
60965,1.0,2599.0,1.0,price
34840,3.0,2639.0,3.0,price
115920,8.0,2981.0,16.0,price
87233,3.0,2836.0,3.0,price
8909,3.0,2699.0,3.0,price
86984,7.0,4968.0,7.0,price
87315,1.0,2599.0,1.0,price
88239,1.0,3299.0,1.0,price
9506,17.0,3927.0,22.0,price
96382,2.0,2679.0,2.0,price
43238,2.0,3448.0,2.0,price
86906,1.0,2599.0,1.0,price
20948,3.0,3768.0,3.0,price
48052,1.0,2999.0,1.0,price
112135,1.0,2599.0,1.0,price
80952,3.0,2959.0,3.0,price
5413,3.0,3104.0,3.0,price
63543,1.0,2599.0,1.0,price
31445,1.0,3098.0,2.0,price
101387,1.0,2999.0,1.0,price
108606,2.0,3448.0,2.0,price
34703,3.0,2798.0,3.0,price
41085,2.0,2625.0,2.0,price
99043,1.0,3798.0,2.0,price
84047,1.0,2599.0,1.0,price
114309,2.0,2619.0,2.0,price
59357,1.0,2599.0,1.0,price
95843,1.0,3299.0,1.0,price
321,2.0,3219.0,2.0,price
66070,3.0,2894.0,3.0,price
105835,1.0,3699.0,1.0,price
110856,2.0,3798.0,2.0,price
60193,1.0,2599.0,1.0,price
86016,1.0,2599.0,1.0,price
58191,1.0,2599.0,1.0,price
12906,1.0,3199.0,1.0,price
9431,1.0,2749.0,1.0,price
100657,1.0,2639.0,1.0,price
39170,1.0,2799.0,1.0,price
8763,5.0,3774.0,5.0,price
48698,2.0,2838.0,2.0,price
4370,4.0,4073.0,4.0,price
44208,3.0,4547.0,3.0,price
90161,1.0,2599.0,1.0,price
21164,2.0,2938.0,2.0,price
4599,3.0,3298.0,3.0,price
6876,3.0,3012.0,3.0,price
35793,1.0,3599.0,1.0,price
55978,1.0,2599.0,1.0,price
30299,2.0,6197.0,3.0,price
114121,2.0,2610.0,2.0,price
65608,1.0,2999.0,1.0,price
109149,2.0,2839.0,2.0,price
1651,2.0,3199.0,2.0,price
77683,1.0,5299.0,1.0,price
52228,4.0,2652.0,4.0,price
13522,3.0,3159.0,3.0,price
90269,1.0,2599.0,1.0,price
27295,2.0,3299.0,2.0,price
12610,6.0,4396.0,10.0,price
42658,2.0,3048.0,2.0,price
29564,1.0,3499.0,1.0,price
7358,6.0,4592.0,6.0,price
5437,3.0,2813.0,4.0,price
63444,1.0,3299.0,1.0,price
38150,2.0,3997.0,3.0,price
84278,2.0,3010.0,2.0,price
86998,8.0,3310.0,10.0,price
90445,2.0,3544.0,2.0,price
43692,2.0,3248.0,2.0,price
98895,2.0,5298.0,2.0,price
91134,3.0,3844.0,3.0,price
70208,1.0,3499.0,1.0,price
81338,2.0,3006.0,2.0,price
5242,3.0,4197.0,4.0,price
42764,24.0,3153.0,28.0,price
10977,2.0,3199.0,2.0,price
22444,2.0,2598.0,2.0,price
24007,1.0,3999.0,1.0,price
